興味づけ,"Twitterアカウントを育てると出来ること

・月収100万円達成
・同じ目標を掲げる仲間が出来る
・職場の面倒くさい人間関係からの解放
・旅行しながら稼げる
・エロい女の子抱ける
・有益な情報が集まってくる
・インフルエンサーと繋がれる
・無理やり朝起きなくていい
・チヤホヤされて気持ちいい",お寿司からのサウナなう。サラリーマンが仕事してる時間のサウナはほぼ貸切状態だし最高。土日とか人が多すぎて整うどころか逆にストレスやばいよな。Twitterで稼げるようになると、時間とお金の自由両方手に入るからガチで幸福度爆上がりするよ。君もTwitterで稼げるようにならないか？＜鮨の画像、サウナの休憩所の画像＞,"俺がTwitterでマネタイズを始めたのは20歳の頃。

はじめてnote販売した時はなんの知識もなかったから、稼ぎも少なかったけど今でもあの頃の興奮は忘れられない。

売れる度にピコン！となる通知音、数々の感謝の声。止まらない脳汁。

あれから2年が経って月に1000万円稼げるようになったけど、こんなにも楽しくて、しかも手軽に稼げるビジネス他にはないね。

Twitter × コンテンツ販売こそ現代最強の稼ぎ方だと確信してるから今後も続けていくし、俺と同じようにTwitterマネタイズで人生を激変する人をたくさん生み出したい。

20歳の頃に味わったあの感動を俺のフォロワーにも体感させます。俺を信じて着いてきてください。＜noteの売上画像＞","寝てるだけで既に日給65000円超え。
まじでTwitter×コンテンツ販売熱すぎやね。ちなみに現在メイン垢2垢凍結されてるけど、それでもバンバン不労所得が入ってくる。やっぱTwitterアカウント育てると資産になるね。＜２万円のTipsが売れてる画像＞","まじでノータッチやけどアフィも毎月数万円入ってくるの普通に熱いな。

アフィ収入だけでサウナ毎日いける。

最近色んな人この売上画面載せてるけど、どーやって稼いでるか知りたい？

知りたい人はいいねしておいて😊＜アフィで売れてる画像＞",もはや俺のTwitter運用の実力を示すには、俺が運用してる別垢達を全暴露した方がいい気がしてきた。多分想像の5倍多いけど知りたい人いる？？いたらいいねで教えて。反響あったらアカウントと、その伸ばした方法まじで一挙大公開する。これ過去一有益やと思う。いいね来なかったらしれっと消しとくw,"これがちですぐ消すけど、メルマガ開始""4ヶ月""で、

「プレゼントなし、広告なし、リスト流しなし」

で約5000人に登録されてる

しかも、別にこのアカウントだけに専念してるわけじゃない

これある程度ビジネスやってる人ならヤバさ分かるよね？

ぶっちゃけ俺よりTwitter集客上手い人いないっしょ＜毎日40~138リスト取れてる画像＞"
,理想の未来を見せる,Twitterで稼げるようになった理想の生活を見せる,売上画像で興味づけしつつ、共感をとるポスト。,売上画像で興味づけしつつ理想の未来を見せる。,アフィで売れてる画像で理想の未来を刺激,別垢を見せると言って興味づけ,１日100リスト近く取れてる様子で中級者以上にも興味づけ
問題点の指摘,"【Tipsアフィはオワコン？？】

最近かつての勢いは落ちつつあるTIPSアフィだが、果たしてオワコンなのか？？

これに関してははっきりと断言するが、tipsアフィは全くオワコンではない

むしろ今でも、いやポイントさえ押さえれば永久的に激アツな稼ぎ方であることは間違いない

「いや売れねーし🤓」

そう反論してくるお前！お前は絶対最後まで読めよ。

まじでこれは間違いなく言えるけど、TIPSアフィという稼ぎ方がオワコンではなく、売れないお前がオワコンなんよ。

ビジネス系だとアフィ報酬率を50%にしてる人が多いが、

そもそも「商品も作ってなければ、実績もまともにない」お前がたかたがチョロっと頭を捻って考えてアフィツイートをして、

そのツイート経由で商品が売れたら利益の50%貰えるのがまじでバグなんよ。

商品販売者とお前らアフィリエイターが貰う額が同じってことのバグ加減に本当に気付いてないからもう頭が悪すぎるから、少なくとも楽に金を稼ぐことは諦めた方がいい。
商品を作るのがどんなにしんどいか、

その商品が売れるために信用を積み重ねるのがどれほど大変か、

そんなことも全く知らずに、アフィが売れないからと言って一丁前にRTの催促だけしてくるお前。

金稼ぎを舐めるのもいい加減にしたがいいよ。

アフィが売れないのはお前のアカウントに、信用と発言力がないからであり、発信者がRTしないからではない。

RTして売れたなら、それはお前の実力ではなく、発信者がお前に報酬のおすそ分けをしてくれただけ。

まあ人格否定をしても仕方ないから、話を戻すと、要は自身のアカウントに発信力さえあれば、tipsアフィはもうこれ以上ないくらい激アツな稼ぎ方であるってこと。

今お前がやるべきことはアフィツイートを大量にして、販売者からのRTを待つことではなく、

Twitter運用をきちんと学んで、自身の発信力をつけること。

発信力とはつまり人を動かす力。この人を動かす力があればアフィは当たり前に売れるし、自分のコンテンツだって売れる。

仮に、自分でコンテンツを売れるようにアカウントが育ったとしても、tipsアフィは熱い。

俺もいい商品さえあれば全力でアフィして、楽に大金稼ぎたい。

まあ長くなったし、今回はこのくらいにしておく。

まとめると、tipsアフィは今後も熱いよってことと、Twitter運用学んで発信力つけようねってこと。

「Twitter運用学んで、アフィでもコンテンツ販売でも爆稼ぎしてやるぞ🔥」

って気合入ってる人は、リプに💪送っといて。

厳しめに書いたけど、これ読んでTwitter運用学ぼうと思った人はまじでセンスあるよ。

じゃあまた！","😎「恋愛系、ビジ系、エロ系で1つ万垢つくって、それを起点に複数垢伸ばす」
↑
実際にそれをやってた俺から1つ言えることは累計フォロワー数(笑)ドヤりたいんならまだしも売上の最大化ていう観点では1つに絞っちゃったが余裕で上手くいくよ

正味複数垢つくってリソース分散するのかなりビミョい。","恋愛系が今は熱い！恋愛系必勝法はこれ！
↑
自分はやったことない。適当に風の噂で聞いた方法を発信しているだけ

〇〇で1000万円稼ぐ方法
↑
自分は稼いだことない。ただし、理論上は可能（と思われる

こういうエアプ知識爆誕させまくるのいい加減やめません？？
知らないことは知らないでいいやん","本当は黙っておきたかったけど、あまりにエアプが多すぎて腹が立ってきたので暴露します。

これはぶっちゃけ俺からしたら損でしかない。ただ、俺のフォロワーにはガチで稼いで欲しいので、不利益を覚悟して真実を伝えます。

1部同業者には猛烈な反感を買うかもしれませんが、覚悟を決めました。
↓
↓

最近タイムラインを眺めてると、

「tipsアフィで稼ぎたいなら、ビジネス系は競合が多すぎるから、恋愛系でアフィをした方が稼げる🤓」

というツイートが流れてきました。

それとは別に1ヶ月前くらいには某大手ビジネス垢が俺の恋愛系の別垢を「アフィしたら稼げる人」として紹介してました。

どちらのツイートにも、

「これは有益な情報だ🤪」
「俺もこれで稼げるんだ😆」

とその発信者を鵜呑みにしてしまった可哀想な情弱さん達による大量のいいねが集まっていました。

ただ、この発信""普通に嘘です""。

信じてしまえば、お金がチャリンチャリン入ってくるどころか大量の時間だけ無駄に消費して終わります。

その証拠として、アフィしたら稼げる恋愛系大手として紹介されていた俺の別垢の売上画面を初公開します。

画像1、2枚目が恋愛垢の売上です。

この画像見てもらえれば分かると思いますが、見えてるところだけで、アフィの売上は約15万円ほどです。

画像が4枚までしか入らないといった都合上、1部省略していますが、

合計アフィで25万円弱です。たったこれだけ。

ちなみに、俺のこの別垢は恋愛系tips販売者の中ではトップレベルに売れてます。

それでもこんなもんです。他の恋愛系販売者のtipsをアフィしたらもっと稼げないのは容易に想像が出来るでしょう。

実際に恋愛系発信者と情報交換をする機会も多いですが、「まじでアフィなんか売れてません」

これだけじゃデータが足りない！と思うのであればリプしてください。

別の恋愛垢の売上も公開します。

では、次は比較するためにビジネス垢の売上も公開します。画像3、4枚目がこちらに該当します。

こちらのアフィは約50万円売れています。もうアフィの売上の違いが一目瞭然ですね。

恋愛系の方が売上は1.6倍あるのにも関わらず、アフィの売上は、ビジネス系の方が2倍以上大きいです。

確かに、ビジネス系の方が、アフィをする競合が多いのは事実でしょう。

ただ、恋愛系ってそもそもアフィの総売上自体がしょぼすぎます。

よく、「競合がいないブルーオーシャンを狙え😎」というように、それっぽい発信をしてる人がいますが、

ブルーオーシャンはブルーオーシャンでもプランクトンすらいないﾀﾋんだ海に突撃しても全く旨みはありません。

競合に勝てないからと言ってニッチなところを攻めるなんてものは愚策です。

レッドオーシャンな市場というのは、それだけ需要があるからこそレッドオーシャンなんです。

恋愛系アフィは上記で言う、競合もいないが、プランクトンすらいないﾀﾋんだ海ということになります。

稼ぎたいなら普通に王道にビジネス系のアフィしてた方が絶対稼げます。

仮に目先の利益が出なくても、長期的に見て、レッドオーシャンで揉まれて、

そこで実力を積み上げていく方が圧倒的に価値が高いですし、生涯年収も高くなります。

長くなったので今回はこの辺でまとめに入ります。

今回のツイートで指摘したことは氷山の一角に過ぎません。

ビジネス界隈には有益そうに見えるが、実はむしろ害悪な情報が溢れています。

それは、その発信者が実データに基づかない、ただの憶測、机上の空論で情報発信をしてるからに他なりません。

見せかけだけ一丁目前なゴミ発信者の情報を真に受けると、

稼げるポテンシャルがある人の才能が無駄に潰されます。

これは大変もったいないことです。
 
正直、俺はこのなまいき垢で稼がなくても他のアカウントの売上だけで普通に生計が立てられるので、

必ず情報発信して稼がなければならないわけではありません。

ただ、エアプだらけのビジネス界隈で、偽物の情報に踊らされてるのを見て、流石に可哀想だなと思い、俺がTwitter運用、そしてTwitterマネタイズの本物の情報を届けなければならないと使命感を抱き発信しています。

今この長い投稿を最後まで読んでくれてるあなたは、正しい情報にリーチできてる時点で間違いなく稼げる才能がある側の人間です。

あとは有益そうに見えるが、ゴミ情報に騙されずに、実力を積み重ねていくのみです。

それさえ出来れば、Twitter × コンテンツ販売で開始3ヶ月で月収100万円を達成するのも全く夢ではありません。

この調子で頑張りましょう💪

最後にここまで大暴露をしてるので、どうせならもうひと暴れやっちゃおうと思います。

このツイートに反響があれば、エアプ発信者全員晒しあげます。

逆に本当に信用出来る有益な人も公開します。

いいねと「🤪」リプお待ちしてます🤪
＜恋愛垢の収益画像２枚＞","1垢しか運用実績がない人
↑
仮にどんだけ爆速で伸ばしていても、どんなに売上がデカくても、まぐれ成功の域を出ないから絶対に参考にすべきでない。

ちな、1垢×ジワジワ伸ばしタイプは論外。そういう人のノウハウを鵜呑みにすると無駄に遠回りして時間浪費するだけだから注意。俺は言ったからね。",,
,読者が稼げない原因を指摘しつつ、Twitter運用を学ぶ重要性を伝えている,複垢で失敗する問題点を指摘,エアプ発信者を仮想敵批判,エアプ発信者を仮想敵批判,ゆっくり伸ばしてる人を批判,,
"おすすめ手段
＆
他の選択肢の削除","またTwitter経由で稼いだお金がチャリンチャリンしてるわ💰

まじでTwitterマネタイズ最強すぎるよね。正味物販とか動画編集とかしてる人ガチで損してると思う。

コストと言えばTwitter Blueの1000円程度で赤字リスク一切なしでリターンは青天井なビジネス他にある？

稼ぎ方もシンプルで再現性も高い。

てか、どうせTwitterやってんのやったら、お金も稼げた方がよくない？？

てことで、Twitter経由で直近2ヶ月で3200万円稼いだ俺がTwitterで稼ぐ方法教えていくから今後も発信楽しみにしててね。

一個一個魂込めてツイートするから、せめてツイートを全力で読み込むくらいはしてね。

本気で学んで行動してたら、3ヶ月で月収100万円も余裕で到達圏内！！やろう！！＜収益画像＞","人間ほんのちょっと無理して追い込むくらいがちょうどいい。9月頭に𝕏運用コンテンツ出すって宣言して今全力執筆してるけど、ぶっちゃけ1ヶ月あればだいぶ余裕持って仕上げられるのにな〜とか思ったりもする。でも、あえてタイトなスケジュールで自分を追い込むことで普段の5倍集中力が発揮されてるし

「やらなきゃ」ってより強く思うからこそ結果的にチマチマ進めるよりコンテンツの質も高くなってる。

この自分を追い込むことで発揮される言わば火事場の馬鹿力のようなものが己を一気に成長させる。

チマチマコツコツもいいが、思いっきり負荷をかけて、短期間で、一気にぶち上げる方が俺には合ってるし、成果も出しやすい。

1日1時間を365日続けるんじゃなくて、1年のうちの3ヶ月だけ全力で稼働して、残りは自由にゆるゆる過ごす、これが俺の理想のライフスタイルだわ。

ていうことで、あと2週間ですが、必ずバチくそ有益なコンテンツリリースします。

今個人が月100万円最速で稼ぐなら1番熱いTwitter × マネタイズだが、俺が他の発信者が一切追随出来ないレベルのものを仕上げる。

俺ほどTwitter運用において、実績があって、しかも実際のデータと現場のリアルを知ってる人はいないから俺なら絶対やれる。

いや、やる。まじで楽しみにしてて。頑張るから。そして、一緒に人生変えよう。やるぞ。",フル外注で回してる別垢の売上やけど、サラリーマンの月収程度であれば一切盛りなしで開始1ヶ月で作れるようになる。このなまいきくん流Twitterマネタイズ爆速0→1突破法知りたい人いる？？ちなみに、Twitter系のコンテンツ全部買い漁ったけどこの方法書いてる人誰もいなかった。知りたい人はいいね👍＜収益画像＞,"𝕏から広告収益52,000円発生✌️

正直広告収益で稼ぐより圧倒的にコンテンツ販売や高単価コンサルした方が稼げるけど、ただ発信するだけでお小遣いもらえるのはありがたいね

今後ますます𝕏1強になるやろうし、今本気で𝕏攻略始めるしかないね。𝕏のHIKAKINになるのは誰だ？

𝕏で稼ぎたい人はいいね！",,,
,Twitterの優位性を伝えている,Twitter×マネタイズ,Twitter１ヶ月でなら１ヶ月で稼げるようになる,今後はどんどん𝕏１強になる,,,
再現性ポスト,"なまいき垢ビジネス界隈参入後5ヶ月弱でフォロワー9,449人まで伸ばしてる。ちなこれは俺の中では平均スピード

恋愛垢は3ヶ月で万垢にしたし、万垢なんかもう累計20回くらい作り上げてる

全界隈で俺が1番𝕏運用上手いけど、0から爆速で伸ばす方法知りたい人いる？

コツさえ掴めばまじで誰でも出来る＜インプが伸びてる画像＞","これは2020年の別垢やけど、俺が本格的に運用始めたらこんな感じで停滞してても1ヶ月でフォロワー爆増する。なまいきくんも5ヶ月で9,500人まで伸ばしてるけど、俺レベルになるとこんなんまじで普通なんよ。

正味その辺の発信者とTwitter歴も違うし、伸ばしてきたアカウントの数が桁違いすぎる。↓

流石にTwitter5年もやってるし、もう再現性が高い爆伸びの方法とか完全に言語化出来てる。

そして、その方法使えば、

「フォロワーまじで伸びない🥲」
「昔勢いあったけど最近オワコン気味😇」

こんな人でもフォロワー爆伸びさせられるよ。これはまじで自信を持って言える。

そして、当たり前にフォロワー爆伸びさせれば、その分だけインプレッションも上がるわけやからお金も稼げる。

単純にインプレッションが10倍になったら売上10倍レベル。

まあ結局Twitter伸ばすのは正しい方法を知ってるかどうかってことやね。＜アナリティクスでTwitterが伸びてるデータを公開＞

俺にしか語れない、急激にフォロワー爆伸びさせて荒稼ぎする方法知りたい人いる？

いたらいいねとリプしといて！反響あったら公開するかも。","俺は本当にTwitterしか出来ない。高校ではパソコンがあまりに苦手すぎて情報の授業で評価1を取って危うく留年しかけた。(精神障害者認定をくらい留年免除)大学受験では2浪までしたのに全落ちして親を号泣かせた。↓

学歴が必要のない会計士になろうと簿記を勉強し始めたが、3週間本気で勉強したのにも関わらず簿記3級のテストで100点中21点を取って圧倒的不合格で即諦めた。

(一緒に受けた友達は1週間の勉強で100点中91点で合格)

Twitterでコンテンツ販売を始めるまでは本当にドン底。自己啓発書を読み漁り、意識だけが無駄に高いが何一つ成し遂げられない底辺ニート。

そんな出来損ないの俺にでも出来たんだから、これを読んでるあなたに出来ない理由がない。これだけは言えるが、大事なのは正しい知識を学んで、行動し続けること。まじでこれだけ。",,,,
,何度もうまくいっている再現性,別垢でもうまくいってる再現性,ダメダメだった過去を語る,,,,
その他、教育ポスト,"買ってみた✌️

ぶっちゃけいい商材に当たれば数万円なんか一瞬で元取れるから全部買うくらいの勢いでいいと思ってる。まだ読んでないけどどのみちアフィはしないから買うなら本人のリンクから買おう！＜教材を購入した画面＞",今回宿代だけでサラリーマンの3ヶ月分の給料飛んでる。俺は環境が大事だと思ってるから、このくらい負荷かけるのは当然だけど、実際にこのお金を払えるのもTwitterマネタイズのおかげでしかないんよな。一緒に行ってる仲間もTwitterで繋がったし、Twitter攻略するメリットえぐいなと改めて実感する。,"今日も今日とてtipsからお小遣いをいただきました。これで今回の合宿の宿泊費60万円チャラになりました😊

貯めてても稼ぐ速度は一切上がらないので、毎度の如く全額再投資に回します。

バンバン自分自身に課金して、さらに稼ぎの額を上げていく。年商10億円overの経営者に俺はなる！！＜300万円が振り込まれている画像＞",今とある教材をインプットしてるんやけどまじでビビるくらい良くて感動してる。これもっと前に知ってたら売上の桁1つ変わってたんじゃないかな？って本気で思うレベル。情報商材って胡散臭いかもやけど、いい商品に出会えれば本当にそれがきっかけで人生が大きく好転することもある。要は商材次第やね,"【インプットが世界を変える】

これは絶対に脳に焼き付けて欲しい。TLを眺めていると、頻繁に

「インプットしよう☹️」
「学び尽くそう🥸」

といったツイートが流れてくるが、これはどんな意味があるか？

ずばり、これは、

「俺の商材を買え😠」

ということである。ていうのは嘘で、学びは↓

「見える世界を変える力」

を持っている。

これだけ言っても、

「どういうことやねん😡」
「は？？？？なんだお前😐」

って反応になるのは当然のこと。

最後まで読めば、意味が分かって、しかもお金も稼げる人間になるから焦らずに、、

まずは、質問です。
ちょっぴり考えてみてください。

「Twitterマネタイズ未経験のあなたと、Twitterで月1000万円稼ぐなまいきくんでは、TLに流れてくるツイートの見え方って一緒だと思いますか？」

・
・
・
・
・

「一緒🤪🤪」

そう答えたあなたはいい意味で空気を読めない力を持ち合わせている。

ある意味天才。

でも、まあここでの正解は、

「ツイートの見え方、つまり世界の見え方はなまいきくんとTwitterマネタイズ未経験者では全然違う」

例えば、このツイート。

🤓「俺がぶち上がったのは、高額コンサルを受けた時。当時全く金がなくて借金した。コンサル費用は、100万円だったが爆速で成長して3ヶ月で元を取った。今では月収300万円を達成してるし、あの時勇気を出した自分を褒めたい。」

このツイートは実際には存在しないが、

これを見た時の反応は、
なまいきくんと全く知識がなく、
学んでいない人だと全然違うと思う。

勉強不足の人は、

「ふんふん、なるほど😌」

これで終わり。

では、あなたが知識をつけたらどうなるか

「なるほど。これは投資の教育をしてるんだな。上手くいってなかった過去の自分(現在の読者と重ねてる)と現在の自分(読者の理想の未来)の差をストーリー形式で見せることで、教育してる感を隠しつつ、さらに自己投資をすることによるベネフィットを読者に悟らせるようにしてるんだなあ。」

もっと書けるが長くなりすぎるのでこのくらいにしておく。

これを見たら分かると思うが知識があるかないかで、こんなにも変わってくる。

これは街の風景の見え方の話でも一緒。

最近シーシャにハマりだしたとして、最寄り駅のシーシャ屋を調べ始めたとする。

すると、意外と自分の家の近くにシーシャ屋が多かったことに気づく。

そうすると見慣れた風景の見え方も変わってくる。

今までただの雑居ビルだと思ってたものがシーシャ屋になる。

そして、ただの見慣れた街から「シーシャ屋の多い街」へとあなたの街への認識は変わる。

こんな感じで、知識があるかないかで、物事の見え方は大きく変わってくる。

知識がないと常にくもりガラスを通して世界を見てるような感じ。

インプットが大事だと言ってるのはこういう理由。

 くもったメガネをピッカピッカにするのがインプットの役割。

Twitterマネタイズで最速で月収100万円達成したいなら、

①Twitterで稼いでる人を分析
②稼げてる要素を抽出
③それを真似する

この3ステップを辿るのが最強だが、①の分析の段階で知識がない状態だと、分析の解像度が低くて詰む。

だから、俺は適切なインプットをしようねと何度も言っている。

今回のツイートでインプットの重要性が分かってもらえたかな？

こんな長文を最後まで読むような、勉強熱心で、熱量の高いセンス抜群のあなたには俺も絶対に成功して欲しい。

今後もTwitterマネタイズで爆速で月収100万円を達成する方法を発信していくから、本気で学んでね。

本気のインプットは人生を変えるよ。

てことで、

「俺は勉強するぞーー！！」
「なまいきくんから学び尽くす！！」
「本気で行動して月収100万円を達成する！」

そう思った人は、今の気持ちを忘れないために、リプで🔥を送っておいて。

よくリプくれる人は俺も覚えるし、ツイートもチェックしてるよ。

今後も一緒に頑張ろう👍👍","「フォロワー0~1000人」・・①
と
「フォロワー1000人以降」・・②

では取るべき運用方法が明確に違う。この違い分かる人いる？

①の時期に発信が伸びず辞めていく人がほとんどやけど、これは②ですべき運用を①の段階からやってしまっているから

ちなみに、巷のTwitter運用Brainはこれ書いてない",チャンスってそう何度も来るもんじゃねーんよな。本当に一瞬しかないからこそ少しでも熱いと思ったら、全てのものを犠牲にしてでもそこに一点突破。チャンスがチラ見したら爆速で飛びついてしがみ続ける。甘えてんじゃねぇ。やる時はとことんやる。ﾀﾋんでも負けない。このマインドや。ちな俺はやる。
,自己投資してる様子を見せる,環境に投資してる様子を見せる,知識や環境に投資して回収してる様子を見せる,知識投資の重要性,知識重要性,自分の商品ならフェーズごとの運用がわかるという教育,チャンスに飛び込む覚悟の教育
予告ポスト,なまいきくん9月中にコンテンツ出します。史上最高クオリティにしたいので、今日から本気で仕事します。ゴミみたいなコンテンツ出したらボロくそ叩いてください。がちで覚悟決めて本気で作り上げます。久々本気なってるから楽しみにしてて。まじでぶちかます。負けられない。,"⚠️緊急速報⚠️

本日8/15(火) 23:00緊急スペース開始！

話す内容はその場のノリやけど、以下の内容にも触れていこうかなと

・直近3ヶ月でTwitter経由で3000万円稼いだ話
・非稼ぐ系アカウントで3ヶ月万垢達成した方法
・Twitter歴5年のなまいきくん流Twitter運用術

俺のフォローは全員参加してねー！","広告収益52,000円貰ったんやけどこれやり方知りたい人いる？？ちなまじでこれに関しては誰でも出来るwwごめんやけどこれすら出来んかったらまじでTwitterで稼ぐのが無理ってくらい簡単wwとりま知りたい人いいねしておいて。いいね300以上で公開する！

￣￣￣￣リプ欄￣￣￣￣
300いいね超えたので、明日「8/20(日)の23:00」に下のメルマガにてこちらの方法公開します！本当に簡単すぎて逆に文字数は書けないのでサクッと配信します。23:00超えて登録しても受け取れないので必ず今登録しておいてください！9月販売予定のコンテンツ制作の合間に仕上げます！お楽しみに！",昨日のメルマガ特典の動画は𝕏運用コンテンツの合間に現在制作中です。𝕏運用記事をメインで進めるのですぐには終わりません。もうしばらくお待ちください！！そして、受け取り期限も明日までなので、メルマガ登録者の方は昨日のメルマガを今一度ご確認ください！！＜特典のマインドマップの画像モザイクあり＞,メルマガ感想特典まだ受け取り条件満たしてない人はまじで損してるから急いだ方がいいよ。今日の23時完全締切。ちな特典の動画は明日撮り始める。コンテンツ制作の合間に頑張って進めてるから条件満たしてる人は気長に待っててね。＜特典のマインドマプの画像＞,9/1販売の𝕏運用コンテンツのタイトル募集＜新作Tipsのタイトル募集と応募方法を書いた画像＞（ちなみに、採用された人には１％で約30万円を支払った）,"⚠️重大連絡⚠️

9/1販売の𝕏運用tipsですが、リプ欄のLINEにて先行販売を行います

以前僕が別垢でtips販売をした時は、先行販売でサーバーがダウンしました

なまいき垢のtips販売もフォロワー2000人の時点で販売開始5日で1048部売り上げました

俺が商品を販売して、1度たりとも1時間以内に、

400部売れなかったことはありません

今回の販売も、勇気を持って、即行動してくれた人が最大の利益を得れるようにします。

そのため一定部数売り切れる度になんの躊躇もなくガンガン値上げします。

過去の販売は先行販売の時点で400人の方に買っていただいていました。

先行販売を逃すと、かなり値上げされた状態での購読になることが予想されます。

「なまいきくんのtipsで人生を変えたい！」

「必ずTwitterマネタイズで月収100万円を達成したい！！」

「なまいきくんが爆速でフォロワーを伸ばして、異次元の売り上げを叩き出している理由を知りたい！」

という方は、リプ欄のLINEを追加して、先行販売でお手に取っていただくことをオススメします。

(※必ずリプ欄のリンクから追加してください。既存のLINEではありません。)

僕がTwitter運用歴6年で培った全てを出しきりました。もうこれ以上の商品は作れません。この言葉に嘘偽りはありません。

本tipsではかなりリスクを取って実際のアカウント例も出しながら、𝕏運用で他を寄せ付けないほどフォロワーを伸ばし、最速でマネタイズしていく方法を解説しました。

9/1はあなたの人生で忘れない日の1つになるでしょう。

この日があなたの人生逆転物語の始まりです。

いつも僕の発信を追ってくれているあなたなら必ず出来ます。

共に𝕏運用で人生をひっくり返しましょう。やるぞ。"
,コンテンツ作成の予告ポスト,Spaceの予告ポスト,メルマガ登録させるための施策,特典を作ってる告知,特典受け取りのリマインド,タイトル募集の告知,先行販売の告知
リアルタイム性を出す,"俺にとって商品を出すってことは、1ミリも気が抜けない本気の勝負をしかけるってことなんよな。正味お金稼げていいなーって思ってる人もいるかもやけど、俺は本気でいい商品作らないと今まで積み上げた信用がぶち壊れることを知ってるし、それが長期的に見たら圧倒的に損だということも知ってる。↓

だからこそ、ローンチの時はどんだけいい商品を用意した自信があっても、商品販売開始のボタンを押す時は手が震えるし、しばらく緊張で過度なストレスがかかる。

これは本気で嘘とかじゃなくて、俺はそんくらいまじで商品販売に取り組んでる。

商品を出すってのはめちゃくちゃ怖いこと。それでも届けたいものがあるし、俺は全力を尽くして勝負をしかけるのみ。

半端ないくらい緊張するけど頑張ります。ちな、今も手が震えてる。",ばちくそいいコンテンツ作るための仕事開始しちゃうよーん。しばらくはまじで自分の時間全て潰してコンテンツ作成がち注力やな。2日後から合宿もいくし、まじでぶちかますわ。まあ俺の本気見てろって。＜作業してるタブレットの画像＞,サウナ付きの合宿所イン！！普通にえぐいコストかかってるから本気で作業して9月販売のコンテンツ制作くそガチるわ。＜合宿所の画像＞,今日も全力でTwitter運用コンテンツ作成なう。9月頭にリリース予定やけど、史上最高クオリティ叩き出したいからまじで残り2週間ﾀﾋぬほど仕事するわ。もう1ミリの妥協もしない。久々本気になってるからもう他のもの全てを犠牲にして仕事する。やってやるわ。まじで楽しみにしてて。＜合宿所の画像＞,"ガチで最悪だわ、、、

明日のメルマガ5000字書いてたのに、謎に全データ吹っ飛んだ、、

まじでくっそ萎えるんやが、、、
ただでさえ𝕏運用のコンテンツ制作で忙しいのにまじでもうこれモチベ激減やて、、

はぁ、、、もう俺はダメかもしれない。",今ようやく使えるようになってきたiPadで全力で執筆してる。昨日5000文字吹き飛ばして鬼萎えてたけど、4600字までは再現出来た。𝕏運用コンテンツの合間に気合いで書き上げてるわ。今日の23時になんとか間に合わせて、固定ツイートのメルマガで配信するから必ず登録しておいて。無料です。あと応援して,"銭湯言ってたらさらに100人増えてた！！

それにしても大阪の銭湯は700円でサウナも入れるの最高すぎるな。普通に毎日通いたいレベル。コンテンツ制作の疲れが癒えるわ。＜先行販売LINEの登録者数の画像＞"
,今作ってるコンテンツについて触れつつ、熱量を見せる,リアルタイムで作ってる様子を見せる,本気でコンテンツ作成してる様子,,事件が起こることで注目が集まる,執筆してる様子をリアルタム配信,先行販売LINEに登録されてるリアルタイム性