,,,,,,,,,,,
収支集計表,,,,,,,,,,,
月,売り上げ,原価,粗利,,,,,,,,
,,,,,,,,,,,
6月, \ - , \ - , \ - ,,,,,,,,
7月," \ 1,265,000 "," \ 2,383 "," \ 1,262,617 ",,,,,,,,
8月, \ - ," \ 32,780 "," \ -32,780 ",,,,,,,,
9月, \ - ," \ 32,780 "," \ -32,780 ",,,,,,,,
10月, \ - ," \ 32,780 "," \ -32,780 ",,,,,,,,
11月, \ - ," \ 32,780 "," \ -32,780 ",,, 合計,,,,,
12月," \ 1,421,618 ","32,780"," \ 1,388,838 ",,,売上," \ 5,054,692 ",,,,
1月," \ 424,700 "," \ 32,780 "," \ 391,920 ",,,原価," \ 395,743 ",,,,
2月," \ 443,301 "," \ 32,780 "," \ 410,521 ",,,粗利," \ 4,658,949 ",,,,
3月," \ 308,795 "," \ 32,780 "," \ 276,015 ",,,,,,,,
4月," \ 308,795 "," \ 32,780 "," \ 276,015 ",,,,,,,,
5月," \ 294,161 "," \ 32,780 "," \ 261,381 ",,,,,,,,
6月," \ 294,161 "," \ 32,780 "," \ 261,381 ",,,,,,,,
7月," \ 294,161 "," \ 32,780 "," \ 261,381 ",,,,,,,,
8月," \ 2,835,504 "," \ 32,780 "," \ 2,802,724 ",,,,,,,,
9月," \ 1,664,404 "," \ 32,780 "," \ 1,631,624 ",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
売り上げ集計表,,,,,,,原価集計表,,,,
ID,名目,単価,個数,売り上げ合計,,,ID,名目,単価,個数,原価合計
,,,,,,,,,,,
6月,,,,,,,6月,,,,
1,,,, \ - ,,,1,,,, \ - 
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,, \ - , \ - , \ - ,,,合計,,,, \ - 
7月,,,,,,,7月,,,,
1,ハルキノデザインスクールモニター," \ 55,000 ", \ 23 ," \ 1,265,000 ",,,1,LINE公式アカウント月額プランライト," \ 2,383 ", \ 1 ," \ 2,383 "
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 55,000 ", \ 23 ," \ 1,265,000 ",,,合計,,,," \ 2,383 "
8月,,,,,,,8月,,,,
1,,,, \ - ,,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,, \ - , \ - , \ - ,,,合計,,,," \ 32,780 "
9月,,,,,,,9月,,,,
1,,,, \ - ,,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,, \ - , \ - , \ - ,,,合計,,,," \ 32,780 "
10月,,,,,,,10月,,,,
1,,,, \ - ,,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,, \ - , \ - , \ - ,,,合計,,,," \ 32,780 "
11月,,,,,,,11月,,,,
1,,,, \ - ,,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,,,, \ - ,,,2,,,, \ - 
3,,,, \ - ,,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,, \ - , \ - , \ - ,,,合計,,,," \ 32,780 "
12月,,,,,,,12月,,,,
1,デザジュク一期生,"14,634", \ 19 ," \ 278,046 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,601 ", \ 4 ," \ 74,404 ",,,2,,,, \ - 
3,," \ 28,348 ", \ 1 ," \ 28,348 ",,,3,,,, \ - 
4,," \ 520,410 ", \ 2 ," \ 1,040,820 ",,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 567,359 ", \ 26 ," \ 1,421,618 ",,,合計,,,," \ 32,780 "
1月,,,,,,,1月,,,,
1,デザジュク一期生,"14,634", \ 22 ," \ 321,948 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,601 ", \ 4 ," \ 74,404 ",,,2,,,, \ - 
3,," \ 28,348 ", \ 1 ," \ 28,348 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,583 ", \ 27 ," \ 424,700 ",,,合計,,,," \ 32,780 "
2月,,,,,,,2月,,,,
1,デザジュク一期生,"14,634", \ 22 ," \ 321,948 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,601 ", \ 5 ," \ 93,005 ",,,2,,,, \ - 
3,," \ 28,348 ", \ 1 ," \ 28,348 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,583 ", \ 28 ," \ 443,301 ",,,合計,,,," \ 32,780 "
3月,,,,,,,3月,,,,
1,," \ 14,634 ", \ 14 ," \ 204,876 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,875 ", \ 4 ," \ 75,500 ",,,2,,,, \ - 
3,," \ 28,419 ", \ 1 ," \ 28,419 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,928 ", \ 19 ," \ 308,795 ",,,合計,,,," \ 32,780 "
4月,,,,,,,4月,,,,
1,," \ 14,634 ", \ 14 ," \ 204,876 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,875 ", \ 4 ," \ 75,500 ",,,2,,,, \ - 
3,," \ 28,419 ", \ 1 ," \ 28,419 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,928 ", \ 19 ," \ 308,795 ",,,合計,,,," \ 32,780 "
5月,,,,,,,5月,,,,
1,," \ 14,634 ", \ 13 ," \ 190,242 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,875 ", \ 4 ," \ 75,500 ",,,2,,,, \ - 
3,," \ 28,419 ", \ 1 ," \ 28,419 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,928 ", \ 18 ," \ 294,161 ",,,合計,,,," \ 32,780 "
6月,,,,,,,6月,,,,
1,," \ 14,634 ", \ 13 ," \ 190,242 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,," \ 18,875 ", \ 4 ," \ 75,500 ",,,2,,,, \ - 
3,," \ 28,419 ", \ 1 ," \ 28,419 ",,,3,,,, \ - 
4,,,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,928 ", \ 18 ," \ 294,161 ",,,合計,,,," \ 32,780 "
7月,,,,,,,7月,,,,
1,デザジュク一期生50分割," \ 14,634 ", \ 13 ," \ 190,242 ",,,1,Lステッププロプラン," \ 32,780 ", \ 1 ," \ 32,780 "
2,デザジュク一期生36分割," \ 18,875 ", \ 4 ," \ 75,500 ",,,2,,,, \ - 
3,デザジュク一期生24分割," \ 28,419 ", \ 1 ," \ 28,419 ",,,3,,,, \ - 
4,一括, \ - ,, \ - ,,,4,,,, \ - 
5,,,, \ - ,,,5,,,, \ - 
6,,,, \ - ,,,6,,,, \ - 
7,,,, \ - ,,,7,,,, \ - 
合計,," \ 61,928 ", \ 18 ," \ 294,161 ",,,合計,,,," \ 32,780 "
8月,,,,,,,,,,,
1,デザジュク一期生50分割," \ 14,634 ", \ 15 ," \ 219,510 ",,,,,,,
2,デザジュク一期生36分割," \ 18,875 ", \ 21 ," \ 396,375 ",,,,,,,
3,デザジュク一期生24分割," \ 28,419 ", \ 1 ," \ 28,419 ",,,,,,,
4,一括," \ 547,800 ", \ 4 ," \ 2,191,200 ",,,,,,,
5,,,, \ - ,,,,,,,
6,,,, \ - ,,,,,,,
7,,,, \ - ,,,,,,,
合計,," \ 609,728 ", \ 41 ," \ 2,835,504 ",,,,,,,
9月,,,,,,,,,,,
1,デザジュク一期生50分割," \ 14,634 ", \ 15 ," \ 219,510 ",,,,,,,
2,デザジュク一期生36分割," \ 18,875 ", \ 17 ," \ 320,875 ",,,,,,,
3,デザジュク一期生24分割," \ 28,419 ", \ 1 ," \ 28,419 ",,,,,,,
4,一括," \ 547,800 ", \ 2 ," \ 1,095,600 ",,,,,,,
5,,,, \ - ,,,,,,,
6,,,, \ - ,,,,,,,
7,,,, \ - ,,,,,,,
合計,," \ 609,728 ", \ 35 ," \ 1,664,404 ",,,,,,,